ticker,rows,jump_count,drop_count,volume_spike_count,volatility_shock_count,regime_shift_count,event_count,event_rate
A,6623,110,117,165,541,0,750,0.1132417333534652
AAPL,9121,156,169,274,823,0,1078,0.11818879508825787
ABBV,3324,51,73,102,281,0,395,0.11883273164861613
ABNB,1324,21,23,58,113,0,170,0.1283987915407855
ABT,9121,143,152,238,760,0,1025,0.11237802872492052
ACN,6204,99,123,192,552,0,742,0.11960025789813024
ADBE,9121,147,168,295,808,0,1079,0.1182984321894529
AES,8746,129,157,188,714,0,967,0.11056482963640521
AFL,9121,156,163,208,775,0,1027,0.1125973029273106
AKAM,6637,123,130,228,661,0,875,0.13183667319572095
ALB,8073,138,139,196,701,0,913,0.1130930261365044
ALGN,6322,122,119,200,603,1,811,0.12828218918063905
ALL,8256,128,144,189,723,0,925,0.11203972868217055
ALLE,3102,42,71,86,301,0,397,0.1279819471308833
AMD,9121,172,158,256,813,0,1063,0.1165442385703322
AMZN,7257,138,126,277,732,0,955,0.13159707868265122
AOS,9121,167,154,225,744,2,1034,0.11336476263567591
APD,9121,150,158,195,736,0,986,0.10810218177831378
APTV,3604,59,81,90,318,0,435,0.1206992230854606
ARE,7249,114,156,188,618,0,862,0.11891295351082908
AVGO,4181,75,74,151,369,0,508,0.12150203300645779
AXP,9121,148,165,246,768,0,1049,0.11500931915360157
BAC,9121,156,183,247,732,0,1000,0.1096371011950444
BBY,9121,158,176,275,803,0,1077,0.11807915798706282
BK,9121,172,173,199,754,0,1027,0.1125973029273106
BKNG,6785,128,127,235,691,0,893,0.1316138540899042
BLDR,5215,107,82,142,409,0,587,0.11255992329817834
BLK,6657,115,135,180,546,0,764,0.11476641129637975
BMY,9121,141,168,243,771,0,1035,0.11347439973687096
C,9121,150,159,260,733,0,1001,0.10974673829623945
CAT,9121,163,156,249,790,0,1052,0.1153382304571867
CCL,9121,173,147,240,743,0,1013,0.11106238351057998
CL,9121,144,159,227,705,0,972,0.10656726236158316
CLX,9121,162,160,256,855,0,1131,0.12399956145159521
CMCSA,9121,156,150,235,703,0,990,0.10854073018309396
