ticker,rows,jump_count,drop_count,volume_spike_count,volatility_shock_count,regime_shift_count,event_count,event_rate
A,6623,87,112,146,521,0,711,0.107353163219085
AAPL,9121,130,141,230,786,0,1028,0.11270694002850565
ABBV,3324,41,67,84,298,0,395,0.11883273164861613
ABNB,1324,15,19,37,115,0,156,0.11782477341389729
ABT,9121,120,142,199,779,0,1027,0.1125973029273106
ACN,6204,83,111,146,501,0,680,0.1096067053513862
ADBE,9121,128,148,216,792,0,1039,0.11391294814165114
AES,8746,98,148,158,698,0,937,0.10713469014406586
AFL,9121,135,140,180,749,0,1001,0.10974673829623945
AKAM,6637,95,80,163,643,0,797,0.12008437547084526
ALB,8073,108,134,168,702,0,927,0.11482720178372352
ALGN,6322,92,100,144,621,0,779,0.1232204998418222
ALL,8256,116,131,159,633,0,847,0.1025920542635659
ALLE,3102,37,56,60,275,0,359,0.1157317859445519
AMD,9121,139,137,207,767,0,1025,0.11237802872492052
AMZN,7257,106,99,210,663,0,865,0.11919525974920767
AOS,9121,138,128,175,702,0,968,0.10612871395680298
APD,9121,123,136,153,703,0,927,0.10163359280780616
APTV,3604,44,69,63,292,0,396,0.10987791342952276
ARE,7249,97,145,147,591,0,817,0.11270520071734032
AVGO,4181,68,66,119,350,0,482,0.1152834250179383
AXP,9121,115,141,196,740,0,976,0.10700581076636334
BAC,9121,126,155,217,717,0,969,0.10623835105799803
BBY,9121,139,145,213,879,0,1108,0.1214779081241092
BK,9121,138,143,159,686,0,944,0.10349742352812191
BKNG,6785,107,95,177,629,0,807,0.11893883566691231
BLDR,5215,79,74,108,435,0,584,0.11198465963566635
BLK,6657,95,107,149,490,0,694,0.1042511641880727
BMY,9121,121,143,235,760,0,1001,0.10974673829623945
C,9121,144,148,207,725,0,975,0.10689617366516829
CAT,9121,130,138,188,740,0,979,0.10733472206994847
CCL,9121,136,147,197,734,0,983,0.10777327047472865
CL,9121,124,130,176,688,0,920,0.10086613309944086
CLX,9121,140,140,218,816,0,1093,0.11983335160618354
CMCSA,9121,135,127,189,666,0,922,0.10108540730183094
CMG,5069,68,76,144,465,0,600,0.11836654172420595
COF,7887,107,121,165,650,0,852,0.10802586534804108
COP,9121,107,140,192,749,0,1018,0.11161056901655521
COST,9121,119,122,185,788,0,996,0.10919855279026422
CPB,9121,144,139,211,779,0,1048,0.11489968205240654
CRM,5471,75,82,163,484,0,646,0.11807713397916286
CSCO,9088,117,142,213,756,0,996,0.10959507042253522
CVS,9121,137,134,178,770,0,1006,0.11029492380221467
CVX,9121,112,145,195,731,0,984,0.1078829075759237
DE,9121,119,138,201,745,0,980,0.10744435917114352
DHI,8507,126,117,132,690,0,910,0.10697072998706947
DHR,9121,132,136,158,667,0,930,0.1019625041113913
DIS,9121,114,134,233,751,0,995,0.10908891568906919
DLTR,7812,121,106,166,632,0,833,0.10663082437275985
DUK,9121,113,147,193,711,0,998,0.10941782699265432
