ticker,n_windows,true_anomaly_windows,flagged_windows,precision,sensitivity,specificity,f1,mean_abs_score_change,max_abs_score_change
CCL,1396,1352,157,0.9872611464968153,0.11464497041420119,0.9545454545454546,0.20543406229290923,0.030350278697133488,0.6227478981018066
CL,1347,1272,166,0.9397590361445783,0.12264150943396226,0.8666666666666667,0.21696801112656466,0.031959410585230566,0.8481905460357666
CLX,1394,1351,194,0.9690721649484536,0.1391561806069578,0.8604651162790697,0.24336569579288025,0.03222002353243749,0.4151535034179683
CMCSA,1342,1250,137,0.927007299270073,0.1016,0.8913043478260869,0.18312905551550107,0.029871740419414847,0.6404497623443604
CMG,740,730,113,0.9823008849557522,0.15205479452054796,0.8,0.26334519572953735,0.03875483614827363,0.6165273189544673
COF,1145,1108,125,0.928,0.10469314079422383,0.7567567567567568,0.18815896188158962,0.03280315282461525,0.7699970006942749
COP,1328,1246,134,0.8880597014925373,0.09550561797752809,0.8170731707317073,0.17246376811594202,0.029718599376951562,0.9097614288330078
COST,1356,1273,163,0.950920245398773,0.12175962293794187,0.9036144578313253,0.21587743732590528,0.03175479635541288,0.796235322952271
CPB,1358,1347,161,0.9875776397515528,0.11804008908685969,0.8181818181818182,0.21087533156498675,0.031667561415107966,0.5305321216583252
CRM,777,763,104,0.9519230769230769,0.12975098296199214,0.6428571428571429,0.22837370242214533,0.03669975221771554,0.607952356338501
CSCO,1382,1296,184,0.9293478260869565,0.13194444444444445,0.8488372093023255,0.2310810810810811,0.03448790989433139,0.46086931228637695
CVS,1344,1298,160,0.975,0.12018489984591679,0.9130434782608695,0.21399176954732507,0.03180270166603024,0.7347533702850342
CVX,1370,1278,130,0.9076923076923077,0.09233176838810642,0.8695652173913043,0.16761363636363635,0.029499726020305855,1.3888365030288694
DE,1340,1323,140,0.9785714285714285,0.10355253212396069,0.8235294117647058,0.1872863978127136,0.03061712865423497,0.5515068769454954
DHI,1271,1214,124,0.9596774193548387,0.09802306425041186,0.9122807017543859,0.17787742899850523,0.02989755033508061,1.1056811809539795
DHR,1338,1285,150,0.9466666666666667,0.11050583657587548,0.8490566037735849,0.19790940766550524,0.032487953788055454,1.721131682395935
DIS,1305,1271,155,0.9741935483870968,0.11880409126671912,0.8823529411764706,0.211781206171108,0.033598956886244695,1.0000375509262085
DLTR,1095,1067,145,0.9586206896551724,0.1302717900656045,0.7857142857142857,0.22937293729372937,0.036658356133065235,0.724856376647949
DUK,1390,1307,152,0.9013157894736842,0.10482019892884469,0.8192771084337349,0.1877998629198081,0.028547365773573818,0.5018951892852783
EL,1139,1128,158,0.9746835443037974,0.13652482269503546,0.6363636363636364,0.23950233281493002,0.03587664535468826,0.5650808811187744
EMR,1354,1278,135,0.9037037037037037,0.09546165884194054,0.8289473684210527,0.1726822363765039,0.02751349239814572,1.2765346765518188
EXPE,768,760,127,0.9921259842519685,0.16578947368421051,0.875,0.28410372040586246,0.04184798047315655,1.176525473594666
FDX,1332,1311,163,0.950920245398773,0.11823035850495804,0.6190476190476191,0.21031207598371773,0.031942270645783595,0.4792095422744751
GE,1366,1322,146,0.9657534246575342,0.10665658093797277,0.8863636363636364,0.19209809264305175,0.029520688388810504,0.3983035087585449
GILD,1265,1169,174,0.9482758620689655,0.14114627887082976,0.90625,0.24571854058078924,0.03128325759987288,0.5214242935180669
GM,551,539,57,0.9649122807017544,0.10204081632653061,0.8333333333333334,0.18456375838926176,0.029813767779957163,0.6302629709243774
GOOG,794,766,113,0.9203539823008849,0.13577023498694518,0.6785714285714286,0.23663253697383396,0.03581925959785527,0.8880307674407959
GOOGL,797,772,97,0.9484536082474226,0.11917098445595854,0.8,0.21173762945914842,0.035169180913187145,0.7370276451110835
GS,988,939,127,0.937007874015748,0.12673056443024494,0.8367346938775511,0.2232645403377111,0.03081086582929772,0.7035150527954097
HD,1330,1257,138,0.8913043478260869,0.09785202863961814,0.7945205479452054,0.17634408602150536,0.03162494362342439,1.005906820297241
HON,1373,1321,150,0.9733333333333334,0.1105223315669947,0.9230769230769231,0.1985044187627464,0.03141989895623209,0.8440308570861816
IBM,1355,1307,195,0.9692307692307692,0.14460596786534047,0.875,0.251664447403462,0.03535812644169636,0.5508069992065434
INTC,1298,1262,146,0.9452054794520548,0.10935023771790808,0.7777777777777778,0.1960227272727273,0.030693087471202425,0.8099646568298342
INTU,1197,1166,154,0.9675324675324676,0.12778730703259006,0.8387096774193549,0.2257575757575758,0.037693964797118826,0.7718307971954343
ISRG,938,916,135,0.9555555555555556,0.1408296943231441,0.7272727272727273,0.24548049476688866,0.039397113732874335,0.6738195419311523
JNJ,1426,1377,173,0.9479768786127167,0.11909949164851126,0.8163265306122449,0.21161290322580645,0.030625014723392956,0.6559700965881348
JPM,1411,1328,145,0.8758620689655172,0.09563253012048192,0.7831325301204819,0.17243720298710116,0.03055630795499111,1.1376675367355344
KEYS,424,422,61,1.0,0.14454976303317535,1.0,0.2525879917184265,0.03591175282255131,0.5138781070709229
KO,1378,1299,152,0.9342105263157895,0.10931485758275597,0.8734177215189873,0.19572708476912476,0.03044628162010042,0.5358719825744629
KVUE,103,99,10,1.0,0.10101010101010101,1.0,0.1834862385321101,0.03284453410728304,0.4130222797393799
LEN,1362,1329,126,0.9841269841269841,0.09330323551542513,0.9393939393939394,0.17044673539518898,0.028744833947629455,0.5297781229019165
LIN,1280,1162,153,0.9150326797385621,0.12048192771084337,0.8898305084745762,0.21292775665399238,0.029887957159106488,0.4584236145019531
LLY,1404,1366,158,0.9620253164556962,0.11127379209370425,0.8421052631578947,0.19947506561679787,0.03090026696409741,0.5959396362304688
LMT,1395,1346,179,0.9553072625698324,0.12704309063893016,0.8367346938775511,0.22426229508196718,0.03232205495601747,1.1815693378448482
LNT,1361,1311,133,0.9624060150375939,0.09763539282990084,0.9,0.17728531855955681,0.030603796418975388,1.0683841705322266
LOW,1359,1306,157,0.9681528662420382,0.11638591117917305,0.9056603773584906,0.2077922077922078,0.03195348298602322,0.8720881938934326
LULU,715,708,122,1.0,0.17231638418079095,1.0,0.29397590361445786,0.0346702986738595,0.5793771743774414
LW,349,346,50,0.98,0.1416184971098266,0.6666666666666666,0.24747474747474746,0.04134049908868197,0.697289228439331
MA,721,705,91,0.967032967032967,0.12482269503546099,0.8125,0.22110552763819094,0.036016653643714064,0.8914620876312256
MAR,1015,993,110,0.9545454545454546,0.10574018126888217,0.7727272727272727,0.19038984587488667,0.032929108693049505,0.602215647697449
MCD,1350,1300,156,0.9487179487179487,0.11384615384615385,0.84,0.2032967032967033,0.030596087118534787,1.0029141902923584
META,522,509,84,0.9523809523809523,0.15717092337917485,0.6923076923076923,0.26981450252951095,0.03593978955054695,0.602681040763855
MGM,1366,1309,155,0.9612903225806452,0.11382734912146678,0.8947368421052632,0.20355191256830601,0.0323415920411274,1.1811443567276003
MHK,1272,1240,132,0.9621212121212122,0.10241935483870968,0.84375,0.18513119533527697,0.032105139256649186,0.6607859134674074
MMM,1340,1305,163,0.9263803680981595,0.11570881226053639,0.6571428571428571,0.20572207084468663,0.033309500461376096,0.614344596862793
MO,1328,1301,185,0.9621621621621622,0.13681783243658724,0.7407407407407407,0.23956931359353967,0.03402911134474063,0.8654828071594243
MRK,1407,1323,161,0.9503105590062112,0.11564625850340136,0.9047619047619048,0.20619946091644203,0.032388310005112025,1.3046559095382693
MSFT,1353,1305,153,0.954248366013072,0.11187739463601533,0.8541666666666666,0.20027434842249658,0.032005016973032756,0.5357823371887203
MU,1306,1280,124,0.9758064516129032,0.09453125,0.8846153846153846,0.17236467236467237,0.028476498501510912,0.4743155241012573
NFLX,862,850,150,0.98,0.17294117647058824,0.75,0.29400000000000004,0.039801417189054236,0.729529857635498
NVDA,984,927,135,0.9481481481481482,0.13807982740021574,0.8771929824561403,0.24105461393596983,0.035864915149257964,0.7651304006576538
ORCL,1336,1320,176,0.9829545454545454,0.13106060606060607,0.8125,0.23128342245989306,0.034041658590795394,0.6803839206695561
PG,1349,1281,141,0.9361702127659575,0.10304449648711944,0.8676470588235294,0.18565400843881857,0.03159773809619758,0.6356199979782109
PHM,1327,1278,121,0.9338842975206612,0.08841940532081377,0.8367346938775511,0.16154395997140814,0.029402350588261985,0.8954619169235227
PLTR,170,151,27,0.8888888888888888,0.15894039735099338,0.8421052631578947,0.26966292134831465,0.039480648802582334,0.2805110216140747
PM,654,641,88,0.9431818181818182,0.1294851794071763,0.6153846153846154,0.22770919067215367,0.033188884145085334,0.5442562103271484
RCL,1269,1227,159,0.9622641509433962,0.12469437652811736,0.8571428571428571,0.22077922077922077,0.03197132506957189,1.0855942964553837
ROST,1376,1273,171,0.9532163742690059,0.12804399057344854,0.9223300970873787,0.22576177285318558,0.032934927246787336,0.8780405521392831
RTX,1354,1278,141,0.9361702127659575,0.10328638497652583,0.881578947368421,0.186046511627907,0.03213085039227606,0.744132518768311
STZ,1222,1185,167,0.9580838323353293,0.1350210970464135,0.8108108108108109,0.23668639053254437,0.03726540443645356,1.1181366443634038
TGT,1365,1319,151,0.9668874172185431,0.1106899166034875,0.8913043478260869,0.1986394557823129,0.032221807587531306,0.5583653450012205
TMO,1308,1275,146,0.9315068493150684,0.10666666666666667,0.696969696969697,0.19141449683321607,0.03218717892478238,0.6904361248016357
TMUS,705,684,97,0.979381443298969,0.1388888888888889,0.9047619047619048,0.2432778489116517,0.037170836193995034,1.0070409774780273
TSLA,570,535,61,0.9016393442622951,0.102803738317757,0.8285714285714286,0.18456375838926176,0.030558996753659112,0.36136877536773726
UNH,1319,1235,154,0.9025974025974026,0.1125506072874494,0.8214285714285714,0.20014398848092152,0.03489340834986639,0.8218809366226196
V,662,622,99,0.9090909090909091,0.14469453376205788,0.775,0.2496532593619972,0.03650255931848477,1.2322030067443845
VLTO,77,73,10,1.0,0.136986301369863,1.0,0.24096385542168672,0.03579405420704894,0.335280179977417
WFC,1380,1314,127,0.9212598425196851,0.08904109589041095,0.8484848484848485,0.16238723108952116,0.02976069414071019,0.9334069490432739
WMT,1314,1240,161,0.9254658385093167,0.12016129032258065,0.8378378378378378,0.21270521056388292,0.03303921140974383,0.647779226303101
XOM,1428,1365,129,0.9689922480620154,0.09157509157509157,0.9365079365079365,0.16733601070950468,0.02809809535720921,0.6124718189239504
