Date,Open,High,Low,Close,Volume
2012-05-18,41.792360377722574,44.72428659023635,37.76717534286625,37.99576568603516,573576400
2012-05-21,36.306185604939394,36.43539017831888,32.79781453598124,33.821502685546875,168192700
2012-05-22,32.41020052074436,33.38419564738151,30.750432464034663,30.8100643157959,101786600
2012-05-23,31.17779871843652,32.300874441862106,31.167859760359534,31.803937911987305,73600000
2012-05-24,32.748121208461704,33.00652656052296,31.57535058250828,32.82762908935547,50237200
2012-05-25,32.698424974228445,32.74811786863476,30.91939129867887,31.714488983154297,37149800
2012-05-29,31.28712386515125,31.49583819610612,28.474463145999607,28.663299560546875,78063400
2012-05-30,28.524157981165423,29.36894857750882,27.68930444737876,28.017282485961918,57267900
2012-05-31,28.375076065677383,29.488214764666093,26.66561502702373,29.418643951416016,111639200
2012-06-01,28.712990964516983,28.971398177406417,27.22218143330572,27.550159454345703,41855500
2012-06-04,27.03334675762239,27.480588476832004,26.278003038984394,26.735183715820312,35230300
2012-06-05,26.53641286824006,27.589917836951688,25.59223265287856,25.711498260498047,42473400
2012-06-06,25.910270843986645,27.00353160908085,25.36364140927077,26.645736694335938,61489200
2012-06-07,26.8345728441541,27.18242879719229,25.98978035696491,26.148799896240234,26159500
2012-06-08,26.38733238480262,27.58991992810321,26.27800762316632,26.93396377563477,38034000
2012-06-11,27.01346952469464,27.898015923492387,26.675552539514342,26.84451103210449,28219600
2012-06-12,27.31163028011302,27.599854367366135,26.79481585200131,27.232120513916016,15816800
2012-06-13,27.490528509144887,27.92783318348608,26.93396012995036,27.10291862487793,17102800
2012-06-14,27.48059240646478,28.14648749734916,27.212246199169,28.11667251586914,16855000
2012-06-15,28.335322177566454,29.915580550918445,28.176302633954148,29.82613182067871,43563800
2012-06-18,29.776435511854707,31.883449096553747,29.229806095487657,31.217552185058597,42978900
2012-06-19,31.346757014957813,31.982835162538155,30.51190349842741,31.714488983154297,30849000
2012-06-20,31.724428313977803,31.734367272108344,30.95914559888797,31.406389236450195,15553600
2012-06-21,31.475958048262196,32.300872564072,31.316938519599745,31.644916534423828,21875300
2012-06-22,32.211421773611505,33.245050539199674,31.86356776179067,32.84749984741211,74834000
