Date,Open,High,Low,Close,Volume
1994-02-22,4.336871566443608,4.336871566443608,4.263365268707275,4.263365268707275,20800
1994-02-23,4.189863720455685,4.189863720455685,3.969344577273807,4.079604148864746,31600
1994-02-24,4.079603689526199,4.079603689526199,4.006097316741943,4.006097316741943,32000
1994-02-25,3.932587531006452,3.932587531006452,3.67531544953874,3.7855749130249023,49800
1994-02-28,3.822329539173054,3.969342213756633,3.78557637052716,3.895835876464844,170400
1994-03-01,3.895835386003767,3.895835386003767,3.82232905796596,3.8590822219848633,41600
1994-03-02,3.785575893947057,3.8590822219848633,3.785575893947057,3.8590822219848633,67000
1994-03-03,3.895833914096539,3.895833914096539,3.8223276138305664,3.8223276138305664,27800
1994-03-04,3.822328867735687,3.969341516494752,3.78557570554592,3.969341516494751,358200
1994-03-07,3.78557570554592,4.0060946786845175,3.78557570554592,3.969341516494751,690800
1994-03-08,3.969344130349816,4.006097316741943,3.969344130349816,4.006097316741943,515200
1994-03-09,4.006095418063077,4.042848587036133,4.006095418063077,4.042848587036133,540400
1994-03-10,4.042848587036133,4.042848587036133,4.006095418063077,4.042848587036133,1832200
1994-03-11,4.079601797850235,4.226614475250244,4.079601797850235,4.226614475250244,1895400
1994-03-14,4.226613162962859,4.483885268534511,4.226613162962859,4.447132110595703,1413800
1994-03-15,4.4471340099302665,4.520640357201841,4.373627662658691,4.373627662658691,1665200
1994-03-16,4.373627662658691,4.373627662658691,4.300121315387117,4.373627662658691,717000
1994-03-17,4.388377260570684,4.535885739917598,4.388377260570684,4.462131500244141,971200
1994-03-18,4.4990081787109375,4.535885294929879,4.4990081787109375,4.4990081787109375,1178000
1994-03-21,4.49900869043862,4.535885810852051,4.49900869043862,4.535885810852051,659400
1994-03-22,4.535884471893311,4.646515800476074,4.535884471893311,4.609638690948486,374000
1994-03-23,4.609638736361549,4.683392956143334,4.5727616264706565,4.646515846252441,430200
1994-03-24,4.609638164120336,4.646515269433298,4.572761058807373,4.572761058807373,747000
1994-03-25,4.609640051678913,4.609640051678913,4.49900869043862,4.535885810852051,370000
1994-03-28,4.535885294929879,4.535885294929879,4.4990081787109375,4.4990081787109375,1116200
1994-03-29,4.499010523160298,4.535887658596039,4.425256252288818,4.425256252288818,595800
1994-03-30,4.425255242040603,4.425255242040603,4.314623860989587,4.351500988006592,653000
1994-03-31,4.351500988006592,4.388378115023597,4.277746733972582,4.351500988006592,448400
1994-04-04,4.203992479938572,4.351500988006592,4.203992479938572,4.351500988006592,386600
1994-04-05,4.314622597616227,4.535885294929879,4.314622597616227,4.4990081787109375,361600
1994-04-06,4.4990094960746125,4.535886623091617,4.351500988006592,4.351500988006592,551400
1994-04-07,4.425253828032679,4.425253828032679,4.351499597565467,4.388376712799072,338400
1994-04-08,4.314624845981598,4.425256252288818,4.314624845981598,4.425256252288818,166000
1994-04-11,4.425252717116784,4.49900692906873,4.277744293212891,4.277744293212891,424800
1994-04-12,4.203991413116455,4.277745648434287,4.203991413116455,4.203991413116455,602800
1994-04-13,4.203991821834019,4.314623185566493,4.130237579345703,4.130237579345703,504600
1994-04-14,4.167116607631649,4.167116607631649,4.093362331390381,4.093362331390381,378200
1994-04-15,4.056483268737793,4.167114630612461,4.056483268737793,4.056483268737793,197600
1994-04-18,4.130235869308998,4.277744293212891,4.130235869308998,4.277744293212891,184800
1994-04-19,4.240867187236918,4.314621399188864,4.240867187236918,4.277744293212891,122200
1994-04-20,4.314622766093204,4.314622766093204,4.203991413116455,4.203991413116455,201400
1994-04-21,4.203991751237349,4.314623113112017,4.056483268737793,4.056483268737793,858200
1994-04-22,4.130235869308998,4.277744293212891,4.130235869308998,4.277744293212891,411400
1994-04-25,4.240868365178343,4.4990081787109375,4.240868365178343,4.4990081787109375,330600
1994-04-26,4.462132369057607,4.462132369057607,4.277746733972582,4.351500988006592,313400
1994-04-28,4.314622402191162,4.314622402191162,4.203991058545235,4.314622402191162,161600
1994-04-29,4.277744293212891,4.314621399188864,4.240867187236918,4.277744293212891,344600
1994-05-02,4.24086856842041,4.31462280439294,4.167114332447881,4.24086856842041,135800
1994-05-03,4.277745686406675,4.3883770403654685,4.203991450434146,4.24086856842041,375200
1994-05-04,4.203991058545235,4.351499516739804,4.203991058545235,4.314622402191162,491800
1994-05-05,4.314621399188864,4.314621399188864,4.240867187236918,4.277744293212891,152800
1994-05-06,4.277744293212891,4.314621399188864,4.277744293212891,4.277744293212891,272800
1994-05-09,4.277744293212891,4.314621399188864,4.277744293212891,4.277744293212891,161600
1994-05-10,4.2777477105458575,4.425256252288818,4.2777477105458575,4.425256252288818,308200
1994-05-11,4.425254380407412,4.535885739917598,4.425254380407412,4.462131500244141,388600
1994-05-12,4.425252637555522,4.572761058807373,4.425252637555522,4.572761058807373,155000
1994-05-13,4.535886623091617,4.572763750108623,4.351500988006592,4.351500988006592,105200
