ticker,rows,jump_count,drop_count,volume_spike_count,volatility_shock_count,regime_shift_count,event_count,event_rate
A,6623,79,104,143,558,0,739,0.11158085459761437
AAPL,9121,115,134,182,759,0,977,0.10711544786755837
ABBV,3324,36,61,77,355,0,448,0.13477737665463296
ABNB,1324,14,17,35,89,0,133,0.10045317220543806
ABT,9121,118,128,173,818,0,1048,0.11489968205240654
ACN,6204,82,111,138,543,0,717,0.1155705996131528
ADBE,9121,123,141,204,762,0,1010,0.11073347220699485
AES,8746,91,136,140,703,0,920,0.10519094443174022
AFL,9121,114,141,177,693,0,946,0.10371669773051201
AKAM,6637,85,70,145,580,0,738,0.11119481693536236
ALB,8073,105,124,154,663,0,893,0.1106156323547628
ALGN,6322,83,89,130,629,0,780,0.12337867763366023
ALL,8256,108,128,149,618,0,824,0.0998062015503876
ALLE,3102,36,60,53,220,0,315,0.10154738878143134
AMD,9121,119,130,194,730,0,995,0.10908891568906919
AMZN,7257,100,96,192,545,0,748,0.10307289513573102
AOS,9121,121,122,158,774,0,1012,0.11095274640938493
APD,9121,115,134,133,694,0,930,0.1019625041113913
APTV,3604,37,62,61,275,0,375,0.10405105438401775
ARE,7249,91,140,140,678,0,890,0.12277555524899986
AVGO,4181,64,63,110,340,0,467,0.1116957665630232
AXP,9121,118,131,196,788,0,1018,0.11161056901655521
BAC,9121,132,138,211,730,0,1002,0.1098563753974345
BBY,9121,115,141,200,773,0,1012,0.11095274640938493
BK,9121,132,139,144,677,0,948,0.10393597193290209
BKNG,6785,98,91,161,588,0,765,0.11274871039056743
BLDR,5215,67,69,91,431,0,574,0.11006711409395974
BLK,6657,87,98,132,522,0,709,0.10650443142556708
BMY,9121,100,134,195,797,0,1032,0.11314548843328583
C,9121,126,143,209,727,0,992,0.10876000438548404
CAT,9121,115,135,169,640,0,898,0.09845411687314988
CCL,9121,135,141,197,766,0,1022,0.11204911742133537
CL,9121,114,131,164,789,0,993,0.10886964148667909
CLX,9121,120,131,190,830,0,1071,0.11742133537989255
CMCSA,9121,111,117,174,712,0,932,0.10218177831378138
CMG,5069,63,71,126,382,0,518,0.10218978102189781
COF,7887,95,119,148,632,0,837,0.10612400152149107
COP,9121,105,132,171,812,0,1060,0.11621532726674706
COST,9121,115,107,183,830,0,1031,0.11303585133209078
CPB,9121,135,141,197,666,0,961,0.10536125424843767
CRM,5471,80,86,152,462,0,617,0.11277645768598063
CSCO,9088,103,142,190,838,0,1074,0.11817781690140845
CVS,9121,114,130,171,768,0,985,0.10799254467711873
CVX,9121,107,138,174,757,0,990,0.10854073018309396
DE,9121,124,135,184,662,0,921,0.10097577020063589
DHI,8507,117,105,111,646,0,848,0.09968261431762078
DHR,9121,117,134,148,680,0,945,0.10360706062931696
DIS,9121,108,137,206,728,0,976,0.10700581076636334
DLTR,7812,116,99,167,700,0,900,0.1152073732718894
DUK,9121,107,143,164,816,0,1073,0.11764060958228265
EL,7633,102,110,154,701,0,891,0.1167299882090921
EMR,9121,130,121,136,689,0,927,0.10163359280780616
EXPE,5199,55,57,117,469,0,596,0.1146374302750529
FDX,9121,135,116,191,664,0,924,0.10130468150422103
GE,9121,125,122,240,763,0,1035,0.11347439973687096
