ticker,rows,jump_count,drop_count,volume_spike_count,volatility_shock_count,regime_shift_count,event_count,event_rate
A,6623,91,120,146,545,0,736,0.11112788766420051
AAPL,9121,143,146,243,843,0,1085,0.11895625479662318
ABBV,3324,45,70,89,298,0,407,0.12244283995186522
ABNB,1324,20,16,47,122,0,169,0.12764350453172205
ABT,9121,123,142,214,808,0,1060,0.11621532726674706
ACN,6204,89,108,164,539,0,721,0.11621534493874919
ADBE,9121,127,143,250,826,0,1063,0.1165442385703322
AES,8746,110,154,165,733,0,980,0.11205122341641893
AFL,9121,132,140,183,776,0,1013,0.11106238351057998
AKAM,6637,103,90,178,707,0,864,0.1301792978755462
ALB,8073,118,128,165,726,0,935,0.11581815929642017
ALGN,6322,103,104,158,673,1,836,0.1322366339765897
ALL,8256,121,134,171,665,0,891,0.10792151162790697
ALLE,3102,41,58,61,293,0,381,0.12282398452611218
AMD,9121,146,147,208,840,0,1080,0.11840806929064795
AMZN,7257,114,108,236,728,0,941,0.12966790684856
AOS,9121,145,133,191,713,0,984,0.1078829075759237
APD,9121,132,137,163,728,0,949,0.10404560903409714
APTV,3604,41,68,74,297,0,404,0.1120976692563818
ARE,7249,96,144,158,598,0,816,0.1125672506552628
AVGO,4181,67,65,135,381,0,505,0.12078450131547476
AXP,9121,120,158,201,814,0,1047,0.11479004495121149
BAC,9121,133,159,212,769,0,1020,0.11182984321894529
BBY,9121,154,149,252,913,0,1140,0.12498629536235062
BK,9121,137,157,174,747,0,1019,0.11172020611775024
BKNG,6785,112,111,193,671,0,855,0.1260132645541636
BLDR,5215,82,81,116,433,0,587,0.11255992329817834
BLK,6657,93,118,150,526,0,722,0.10845726303139552
BMY,9121,122,146,228,809,0,1040,0.11402258524284618
C,9121,149,150,215,750,0,999,0.10952746409384936
CAT,9121,136,148,203,808,0,1030,0.11292621423089573
CCL,9121,142,142,212,793,0,1050,0.11511895625479662
CL,9121,122,133,193,670,0,912,0.0999890362898805
CLX,9121,142,144,224,821,0,1083,0.11873698059423309
CMCSA,9121,140,124,199,703,0,949,0.10404560903409714
CMG,5069,72,81,155,508,0,647,0.1276385874926021
COF,7887,111,118,162,666,0,859,0.10891340180043109
COP,9121,109,142,189,722,0,986,0.10810218177831378
COST,9121,119,126,214,740,0,971,0.10645762526038811
CPB,9121,160,141,243,798,0,1079,0.1182984321894529
CRM,5471,73,86,176,469,0,634,0.11588375068543227
CSCO,9088,118,149,226,826,0,1070,0.11773767605633803
CVS,9121,139,145,181,742,0,984,0.1078829075759237
CVX,9121,111,150,192,684,0,940,0.10305887512334173
DE,9121,133,142,210,733,0,982,0.1076636333735336
DHI,8507,125,115,146,722,0,928,0.10908663453626426
DHR,9121,144,135,164,765,0,1005,0.11018528670101962
DIS,9121,130,137,243,819,0,1069,0.11720206117750247
DLTR,7812,123,114,183,682,0,887,0.11354326676907323
DUK,9121,112,156,194,696,0,978,0.10722508496875342
EL,7633,128,117,185,743,0,949,0.12432857330014412
EMR,9121,128,136,174,685,0,933,0.10229141541497642
EXPE,5199,63,73,150,511,0,646,0.12425466435853048
FDX,9121,150,135,237,728,0,1009,0.1106238351057998
GE,9121,141,129,254,666,0,948,0.10393597193290209
GILD,8601,131,121,191,729,0,938,0.10905708638530404
GM,3856,57,72,93,274,0,391,0.10140041493775934
GOOG,5431,79,96,173,505,0,672,0.12373411894678696
GOOGL,5431,76,94,179,506,0,673,0.12391824709998159
GS,6762,84,107,155,490,0,665,0.09834368530020704
HD,9121,126,146,230,780,0,1025,0.11237802872492052
HON,9121,130,150,189,756,0,984,0.1078829075759237
IBM,9121,137,145,277,820,0,1081,0.118517706391843
INTC,9121,118,139,211,778,0,1020,0.11182984321894529
INTU,8313,122,144,179,763,0,969,0.1165644171779141
ISRG,6478,102,110,196,678,0,853,0.13167644334671194
JNJ,9121,128,153,229,778,0,1048,0.11489968205240654
JPM,9121,138,153,211,711,0,975,0.10689617366516829
KEYS,2871,36,49,85,268,0,355,0.12365029606408917
KO,9121,127,140,220,719,0,979,0.10733472206994847
KVUE,722,11,16,18,58,0,89,0.12326869806094183
LEN,9121,161,121,200,701,0,980,0.10744435917114352
LIN,8499,132,130,160,672,0,908,0.10683609836451347
LLY,9121,141,150,244,755,0,1037,0.11369367393926104
LMT,9121,130,155,223,776,0,1051,0.11522859335599167
LNT,9121,118,159,233,634,0,988,0.10832145598070388
LOW,9121,131,136,192,738,0,978,0.10722508496875342
LULU,4692,70,70,147,493,0,618,0.13171355498721227
LW,2351,26,41,68,220,0,288,0.12250106337728627
MA,4986,66,96,129,433,0,581,0.11652627356598476
MAR,7043,101,127,151,631,0,825,0.11713758341615789
MCD,9121,123,136,227,718,0,962,0.10547089134963271
META,3479,35,61,120,326,0,429,0.12331129634952573
MGM,9121,154,125,172,773,0,1002,0.1098563753974345
MHK,8552,134,125,174,741,0,961,0.11237137511693171
MMM,9121,130,146,239,798,0,1054,0.1155575046595768
MO,9121,117,178,263,798,0,1079,0.1182984321894529
MRK,9121,129,132,259,778,0,1024,0.11226839162372547
MSFT,9121,132,139,220,808,0,1061,0.11632496436794211
MU,9121,127,131,191,711,0,964,0.1056901655520228
