ticker,rows,jump_count,drop_count,volume_spike_count,volatility_shock_count,regime_shift_count,event_count,event_rate
A,6623,71,103,113,504,0,685,0.10342744979616487
AAPL,9121,108,134,174,681,0,919,0.1007564959982458
ABBV,3324,36,54,74,278,0,375,0.11281588447653429
ABNB,1324,12,15,30,61,0,99,0.07477341389728097
ABT,9121,111,125,168,685,0,930,0.1019625041113913
ACN,6204,79,102,133,537,0,707,0.11395873629916183
ADBE,9121,115,125,189,763,0,1011,0.11084310930818989
AES,8746,82,135,147,675,0,893,0.1021038188886348
AFL,9121,110,130,158,709,0,957,0.1049227058436575
AKAM,6637,80,68,130,535,0,696,0.10486665662196776
ALB,8073,107,123,139,657,0,900,0.11148272017837235
ALGN,6322,79,86,125,614,0,777,0.12290414425814615
ALL,8256,111,128,151,636,0,856,0.10368217054263566
ALLE,3102,36,58,51,239,0,336,0.10831721470019343
AMD,9121,127,128,173,682,0,945,0.10360706062931696
AMZN,7257,99,92,159,525,0,710,0.09783657158605484
AOS,9121,124,116,142,787,0,1027,0.1125973029273106
APD,9121,117,126,132,689,0,918,0.10064685889705076
APTV,3604,34,61,60,249,0,354,0.09822419533851276
ARE,7249,87,139,129,699,0,897,0.12374120568354256
AVGO,4181,62,57,101,345,0,478,0.1143267160966276
AXP,9121,116,132,190,726,0,970,0.10634798815919307
BAC,9121,121,136,200,712,0,987,0.10821181887950883
BBY,9121,106,128,199,750,0,986,0.10810218177831378
BK,9121,132,138,132,707,0,956,0.10481306874246245
BKNG,6785,90,89,153,521,0,695,0.10243183492999262
BLDR,5215,74,67,84,435,0,577,0.11064237775647172
BLK,6657,88,103,123,577,0,774,0.11626858945470933
BMY,9121,100,123,195,770,0,1019,0.11172020611775024
C,9121,122,146,197,794,0,1043,0.11435149654643131
CAT,9121,115,125,158,627,0,884,0.09691919745641925
CCL,9121,126,130,200,851,0,1084,0.11884661769542813
CL,9121,112,127,164,820,0,1022,0.11204911742133537
CLX,9121,117,125,176,782,0,1036,0.113584036838066
CMCSA,9121,111,123,165,623,0,877,0.09615173774805394
CMG,5069,64,70,122,404,0,537,0.10593805484316433
COF,7887,102,125,152,761,0,976,0.12374793964752123
COP,9121,110,137,154,835,0,1080,0.11840806929064795
COST,9121,107,104,167,916,0,1105,0.12114899682052406
CPB,9121,140,138,179,669,0,957,0.1049227058436575
CRM,5471,76,77,134,471,0,626,0.11442149515627856
CSCO,9088,102,127,178,822,0,1056,0.11619718309859155
CVS,9121,115,114,166,734,0,951,0.10426488323648722
CVX,9121,102,132,185,734,0,962,0.10547089134963271
DE,9121,123,135,164,680,0,941,0.10316851222453678
DHI,8507,114,104,99,633,0,838,0.09850711179029036
DHR,9121,116,120,137,622,0,867,0.0950553667361035
DIS,9121,111,124,190,784,0,1021,0.11193948032014034
DLTR,7812,105,95,151,739,0,931,0.11917562724014337
DUK,9121,101,142,182,814,0,1071,0.11742133537989255
EL,7633,100,101,147,648,0,852,0.11162059478579851
EMR,9121,123,117,147,713,0,949,0.10404560903409714
EXPE,5199,57,53,99,407,0,525,0.10098095787651472
