ticker,n_windows,true_anomaly_windows,flagged_windows,precision,sensitivity,specificity,f1,mean_abs_score_change,max_abs_score_change
A,1021,998,257,0.9649805447470817,0.24849699398797595,0.6086956521739131,0.3952191235059761,0.03245882812668296,0.4779624938964848
AAPL,1341,1250,324,0.9259259259259259,0.24,0.7362637362637363,0.3811944091486658,0.03178830894071664,0.7788928747177124
ABBV,479,472,135,0.9703703703703703,0.2775423728813559,0.42857142857142855,0.43163097199341016,0.03737012063110223,0.5472238063812256
ABNB,185,185,40,1.0,0.21621621621621623,0.0,0.35555555555555557,0.03317877585473267,0.29552412033081055
ABT,1376,1304,329,0.939209726443769,0.23696319018404907,0.7222222222222222,0.3784445805266381,0.03086267974159934,0.5974287986755371
ACN,968,932,257,0.980544747081712,0.2703862660944206,0.8611111111111112,0.42388561816652653,0.03229765610956233,0.5617289543151855
ADBE,1256,1229,326,0.9693251533742331,0.25711960943856793,0.6296296296296297,0.4064308681672026,0.03530620559753175,0.5972480773925781
AES,1337,1273,320,0.934375,0.23487824037706206,0.671875,0.3753923414940364,0.03238412746769226,1.0577569007873535
AFL,1368,1315,355,0.9577464788732394,0.2585551330798479,0.7169811320754716,0.4071856287425149,0.03424294141408032,0.6582648754119875
AKAM,985,955,259,0.9652509652509652,0.2617801047120419,0.7,0.41186161449752884,0.0403449775242224,0.59423828125
ALB,1213,1188,303,0.9735973597359736,0.24831649831649832,0.68,0.39570757880617036,0.031903301233505654,0.3855431079864502
ALGN,953,930,264,0.9696969696969697,0.2752688172043011,0.6521739130434783,0.42881072026800665,0.04205538883429615,0.8594341278076167
ALL,1194,1161,301,0.9800664451827242,0.2540913006029285,0.8181818181818182,0.40355677154582764,0.033483913138646196,1.190011978149414
ALLE,419,405,107,0.9813084112149533,0.25925925925925924,0.8571428571428571,0.41015625,0.03351142075643585,0.7977347373962405
AMD,1318,1282,343,0.9591836734693877,0.25663026521060844,0.6111111111111112,0.40492307692307694,0.03431760658345262,0.617262601852417
AMZN,1054,1028,261,0.9808429118773946,0.2490272373540856,0.8076923076923077,0.3972071373157487,0.03647169654752003,0.6746973991394043
AOS,1388,1366,336,0.9791666666666666,0.24084919472913616,0.6818181818181818,0.38660399529964745,0.03168350737474768,0.34687018394470215
APD,1343,1289,327,0.9602446483180428,0.24359968968192397,0.7592592592592593,0.38861386138613857,0.03116498832020426,0.6844544410705562
APTV,529,500,133,0.9624060150375939,0.256,0.8275862068965517,0.40442338072669826,0.031313949010588905,0.7321879863739016
ARE,1048,1009,230,0.9434782608695652,0.21506442021803765,0.6666666666666666,0.35028248587570615,0.033780110485801935,0.6134459972381592
AVGO,632,626,153,0.9869281045751634,0.24121405750798722,0.6666666666666666,0.3876765083440308,0.03221858246768521,0.7641364336013798
AXP,1344,1240,351,0.9031339031339032,0.25564516129032255,0.6730769230769231,0.39849151477058453,0.032305932808348425,0.5563488006591797
BAC,1410,1317,355,0.9267605633802817,0.2498101746393318,0.7204301075268817,0.3935406698564593,0.031403840899552074,1.1588107347488403
BBY,1334,1321,348,0.9942528735632183,0.2619227857683573,0.8461538461538461,0.4146195326542841,0.03587574862217598,0.780138373374939
BK,1340,1276,343,0.9358600583090378,0.25156739811912227,0.65625,0.3965410747374923,0.031793386923723736,0.6907730102539069
BKNG,984,971,255,0.9803921568627451,0.25746652935118436,0.6153846153846154,0.4078303425774878,0.04924683726088562,1.0164082050323486
BLDR,756,747,170,0.9882352941176471,0.2248995983935743,0.7777777777777778,0.36641221374045807,0.03540225810562539,0.8564587831497192
BLK,971,917,230,0.9217391304347826,0.2311886586695747,0.6666666666666666,0.36965998256320837,0.03227388342631232,0.8317800760269165
BMY,1412,1357,345,0.9391304347826087,0.23876197494473103,0.6181818181818182,0.3807285546415981,0.03104971774835945,0.6772983074188232
C,1372,1310,337,0.9554896142433235,0.24580152671755726,0.7580645161290323,0.39101396478445666,0.031789754360457737,0.6071174144744873
CAT,1331,1297,314,0.9777070063694268,0.23670007710100233,0.7941176470588235,0.3811297330850404,0.029793974869233318,0.5723047256469727
CCL,1396,1352,340,0.9705882352941176,0.2440828402366864,0.7727272727272727,0.39007092198581556,0.030350278697133488,0.6227478981018066
CL,1347,1272,333,0.924924924924925,0.24213836477987422,0.6666666666666666,0.38380062305295953,0.031959410585230566,0.8481905460357666
CLX,1394,1351,351,0.9572649572649573,0.24870466321243523,0.6511627906976745,0.3948296122209165,0.03222002353243749,0.4151535034179683
CMCSA,1342,1250,319,0.9373040752351097,0.2392,0.782608695652174,0.3811344805608668,0.029871740419414847,0.6404497623443604
CMG,740,730,201,0.9850746268656716,0.27123287671232876,0.7,0.4253490870032223,0.03875483614827363,0.6165273189544673
COF,1145,1108,278,0.9568345323741008,0.24007220216606498,0.6756756756756757,0.3838383838383838,0.03280315282461525,0.7699970006942749
COP,1328,1246,299,0.919732441471572,0.22070626003210272,0.7073170731707317,0.35598705501618116,0.029718599376951562,0.9097614288330078
COST,1356,1273,340,0.9205882352941176,0.24587588373919875,0.6746987951807228,0.3880967141971482,0.03175479635541288,0.796235322952271
CPB,1358,1347,341,0.9912023460410557,0.25092798812175204,0.7272727272727273,0.40047393364928907,0.031667561415107966,0.5305321216583252
CRM,777,763,203,0.9753694581280788,0.2595019659239843,0.6428571428571429,0.4099378881987578,0.03669975221771554,0.607952356338501
CSCO,1382,1296,365,0.9205479452054794,0.25925925925925924,0.6627906976744186,0.40457555689343766,0.03448790989433139,0.46086931228637695
CVS,1344,1298,337,0.9703264094955489,0.25192604006163327,0.782608695652174,0.39999999999999997,0.03180270166603024,0.7347533702850342
CVX,1370,1278,331,0.9123867069486404,0.23630672926447574,0.6847826086956522,0.3753884400248601,0.029499726020305855,1.3888365030288694
DE,1340,1323,338,0.9822485207100592,0.2509448223733938,0.6470588235294118,0.3997591812161349,0.03061712865423497,0.5515068769454954
DHI,1271,1214,297,0.9292929292929293,0.2273476112026359,0.631578947368421,0.3653209794837856,0.02989755033508061,1.1056811809539795
DHR,1338,1285,326,0.9601226993865031,0.24357976653696498,0.7547169811320755,0.3885785226567349,0.032487953788055454,1.721131682395935
DIS,1305,1271,336,0.9732142857142857,0.25727773406766324,0.7352941176470589,0.4069695084007467,0.033598956886244695,1.0000375509262085
DLTR,1095,1067,288,0.9722222222222222,0.2624179943767573,0.7142857142857143,0.4132841328413285,0.036658356133065235,0.724856376647949
DUK,1390,1307,353,0.9291784702549575,0.25095638867635806,0.6987951807228916,0.3951807228915662,0.028547365773573818,0.5018951892852783
EL,1139,1128,295,0.9864406779661017,0.2579787234042553,0.6363636363636364,0.40899508081517916,0.03587664535468826,0.5650808811187744
EMR,1354,1278,309,0.9352750809061489,0.22613458528951486,0.7368421052631579,0.36420919974795213,0.02751349239814572,1.2765346765518188
EXPE,768,760,228,0.9868421052631579,0.29605263157894735,0.625,0.4554655870445343,0.04184798047315655,1.176525473594666
FDX,1332,1311,340,0.9764705882352941,0.2532418001525553,0.6190476190476191,0.4021804966686857,0.031942270645783595,0.4792095422744751
GE,1366,1322,310,0.9741935483870968,0.22844175491679275,0.8181818181818182,0.37009803921568635,0.029520688388810504,0.3983035087585449
GILD,1265,1169,321,0.9376947040498442,0.25748502994011974,0.7916666666666666,0.4040268456375839,0.03128325759987288,0.5214242935180669
GM,551,539,135,0.9777777777777777,0.24489795918367346,0.75,0.39169139465875374,0.029813767779957163,0.6302629709243774
