rolling_window,min_periods,mad_k,fallback_quantile,n_windows,ticker_count,flagged_windows,roc_auc_from_abs_score_change,pr_auc_from_abs_score_change,f1_score,sensitivity,specificity,precision,tp,tn,fp,fn,tol0_precision,tol0_recall,tol0_f1,tol0_flagged_correct,tol0_true_caught,tol3_precision,tol3_recall,tol3_f1,tol3_flagged_correct,tol3_true_caught,tol5_precision,tol5_recall,tol5_f1,tol5_flagged_correct,tol5_true_caught,tol10_precision,tol10_recall,tol10_f1,tol10_flagged_correct,tol10_true_caught
20,8,1.5,0.95,124502,111,31009,0.45780343013547137,0.9559459841182013,0.3930478622839895,0.24741932250952095,0.7096097356273605,0.9553677964461931,29625,3382,1384,90111,0.9553677964461931,0.24741932250952095,0.3930478622839895,29625,29625,0.991905575800574,0.8429628516068685,0.9113891112977719,30758,100933,0.9965171401851075,0.9457055522148727,0.9704466908331881,30901,113235,0.9995807668741333,0.9965674483864502,0.9980718332279607,30996,119325
20,8,2.0,0.95,124502,111,25898,0.45780343013547137,0.9559459841182013,0.33931636843044893,0.20635397875325717,0.7503147293327738,0.954050505830566,24708,3576,1190,95028,0.954050505830566,0.20635397875325717,0.33931636843044893,24708,24708,0.9923546219785312,0.7784208592236254,0.872464686455501,25700,93205,0.9967178932736118,0.9058929645219483,0.9491375742235189,25813,108468,0.9996138697968955,0.9895102558963053,0.9945364025540793,25888,118480
20,8,2.5,0.95,124502,111,22007,0.45780343013547137,0.9559459841182013,0.2961839385366473,0.17531068350370815,0.7868233319345364,0.953832871359113,20991,3750,1016,98745,0.953832871359113,0.17531068350370815,0.2961839385366473,20991,20991,0.99295678647703,0.7134863366072025,0.8303366111755084,21852,85430,0.9970009542418321,0.8582882341150531,0.9224590902565416,21941,102768,0.9996364793020402,0.9763479655241531,0.9878549857877268,21999,116904
20,8,3.0,0.95,124502,111,18984,0.45780343013547137,0.9559459841182013,0.26069780853517877,0.15101556758201376,0.8107427612253462,0.9524863042562157,18082,3864,902,101654,0.9524863042562157,0.15101556758201376,0.26069780853517877,18082,18082,0.9928887484197219,0.6541808645687178,0.7887084003489835,18849,78329,0.9969974715549936,0.8087208525422597,0.8930436540610815,18927,96833,0.9996312684365781,0.9556190285294314,0.9771297957231433,18977,114422
20,8,3.5,0.95,124502,111,16627,0.45780343013547137,0.9559459841182013,0.2320130827277194,0.1321156544397675,0.8304657994125052,0.9514043423347567,15819,3958,808,103917,0.9514043423347567,0.1321156544397675,0.2320130827277194,15819,15819,0.9935045408071209,0.6027427006080043,0.7502943083698226,16519,72170,0.9972334155289589,0.7624356918554153,0.8641696849930302,16581,91291,0.9996391411559512,0.932852275005011,0.965091631676063,16621,111696
50,20,1.5,0.95,124502,111,29309,0.45780343013547137,0.9559459841182013,0.37565835821396226,0.23380603995456672,0.7242971044901385,0.9551673547374526,27995,3452,1314,91741,0.9551673547374526,0.23380603995456672,0.37565835821396226,27995,27995,0.992050223480842,0.8252906394066948,0.9010194839939879,29076,98817,0.9964857211095568,0.9331529364602125,0.9637800042471777,29206,111732,0.9996246886621857,0.9919071958308279,0.9957509890097381,29298,118767
50,20,2.0,0.95,124502,111,24265,0.45780343013547137,0.9559459841182013,0.32149776737661545,0.19332531569452796,0.7656315568610994,0.9539666185864414,23148,3649,1117,96588,0.9539666185864414,0.19332531569452796,0.32149776737661545,23148,23148,0.9929528126931795,0.756589496893165,0.8588048026935804,24094,90591,0.9969091283742015,0.8892313088795349,0.9399966105905526,24190,106473,0.9996703070265816,0.981534375626378,0.990519333242905,24257,117525
50,20,2.5,0.95,124502,111,20305,0.45780343013547137,0.9559459841182013,0.2761476996022593,0.1614886082715307,0.7966848510281158,0.952277764097513,19336,3797,969,100400,0.952277764097513,0.1614886082715307,0.2761476996022593,19336,19336,0.9933021423294754,0.6901516670007349,0.8144317658906693,20169,82636,0.9971928096527949,0.8401650297320772,0.9119688158851438,20248,100598,0.9998030041861611,0.965908331662992,0.9825634457644604,20301,115654
50,20,3.0,0.95,124502,111,17305,0.45780343013547137,0.9559459841182013,0.24036602184747627,0.13755261575466024,0.8248006714225766,0.9517480496966195,16470,3931,835,103266,0.9517480496966195,0.13755261575466024,0.24036602184747627,16470,16470,0.9937590291823173,0.6278061735818802,0.7694887045058506,17197,75171,0.9973995954926322,0.7871567448386451,0.8798935636244662,17260,94251,0.9998844264663392,0.9410703547805171,0.9695863098363625,17303,112680
50,20,3.5,0.95,124502,111,14912,0.45780343013547137,0.9559459841182013,0.21072722951696274,0.1184856684706354,0.8478808224926563,0.9513814377682404,14187,4041,725,105549,0.9513814377682404,0.1184856684706354,0.21072722951696274,14187,14187,0.9945681330472103,0.5700541190619363,0.7247214593388662,14831,68256,0.9976528969957081,0.7322776775572927,0.8446107111657845,14877,87680,0.9998658798283262,0.9080894634863366,0.9517703583084914,14910,108731
