Date,Open,High,Low,Close,Volume
1990-01-02,3.209364457796642,3.236221269895009,3.209364457796642,3.222792863845825,1180500
1990-01-03,3.2630783188905506,3.3302197456359863,3.222793401373383,3.3302197456359863,1597200
1990-01-04,3.330218599506455,3.3570754068412016,3.316790503188505,3.343647003173828,1010100
1990-01-05,3.357075929641724,3.357075929641724,3.3033626139568297,3.357075929641724,936900
1990-01-08,3.343647523883132,3.370504028050844,3.316791019715421,3.357075929641724,569400
1990-01-09,3.330217395516696,3.343645794329235,3.236219525876862,3.249647617340088,655800
1990-01-10,3.2362210750579834,3.249649172949249,3.222792669817258,3.2362210750579834,1230600
1990-01-11,3.249650664430881,3.2630790758348005,3.195937633514404,3.1959376335144043,1338900
1990-01-12,3.169079542160034,3.249649363633166,3.115366532744265,3.169079542160034,2210100
1990-01-15,3.169079542160034,3.169079542160034,3.1422230374521494,3.169079542160034,613800
1990-01-16,3.142221975781965,3.1690784714157805,3.1287935742903703,3.15565037727356,1009200
1990-01-17,3.1556505683661618,3.182507065626291,3.1019372664965115,3.1422221660614014,844500
1990-01-18,3.142223443911867,3.1690799520937527,3.1019385279642786,3.1153669357299805,702300
1990-01-19,3.1019389629364014,3.115367372585114,3.0616540413398248,3.1019389629364014,881700
1990-01-22,3.0885093899478164,3.1019377945384905,2.994511479861432,3.007939577102661,846000
1990-01-23,3.0213675604870143,3.0347959632056463,2.900512858067533,2.9273693561553955,1272600
1990-01-24,2.927370114842993,2.967655026090142,2.7930872822521517,2.94079852104187,1248000
1990-01-25,2.913940906524658,2.9407974013474494,2.8870841043525024,2.913940906524658,1087800
1990-01-26,2.873656418025036,2.887084513665502,2.7259449071846475,2.846799612045288,4777800
1990-01-29,2.8199427369712056,2.8333711381684763,2.7528013456835847,2.77965784072876,1417800
1990-01-30,2.712517023086548,2.7393735238113583,2.6856602150123057,2.712517023086548,1292700
1990-01-31,2.7125171033154536,2.7796585107880567,2.68566029444686,2.76623010635376,1134300
1990-02-01,2.7662290152470943,2.819942304448263,2.7662290152470943,2.793085813522339,1519200
1990-02-02,2.779657532665765,2.846798916512262,2.7662291329567323,2.806514024734497,1077900
1990-02-05,2.793085813522339,2.819942304448263,2.7796574143847166,2.793085813522339,604800
1990-02-06,2.7930862419260305,2.8065143357739344,2.7528013456835847,2.77965784072876,711600
1990-02-07,2.752800923458792,2.819942304448263,2.73937252432117,2.793085813522339,694500
1990-02-08,2.819942304448263,2.846798795374188,2.793085813522339,2.793085813522339,893400
1990-02-09,2.8199427369712056,2.8199427369712056,2.7662294395314886,2.77965784072876,830700
1990-02-12,2.793085813522339,2.819942304448263,2.7796574143847166,2.793085813522339,1071300
1990-02-13,2.793086915222354,2.80651501230721,2.76623010635376,2.76623010635376,687000
1990-02-14,2.7662296959718424,2.83337140083313,2.739373198436965,2.83337140083313,1067400
1990-02-15,2.8065147269473982,2.9273694325195265,2.779658228158951,2.900512933731079,2999400
1990-02-16,2.913940906524658,2.967653896170241,2.8736560106157887,2.913940906524658,4536600
1990-02-20,2.846799495925871,2.860227898368008,2.819942998390993,2.83337140083313,2715000
1990-02-21,2.766229883559338,2.819943189620972,2.752801787555992,2.819943189620972,4536900
1990-02-22,2.8199427369712056,2.8333711381684763,2.7528013456835847,2.77965784072876,1777800
1990-02-23,2.752802567926076,2.779659074895522,2.7393741607666016,2.7393741607666016,1215900
1990-02-26,2.752800923458792,2.806513905310641,2.73937252432117,2.793085813522339,985200
1990-02-27,2.7930874820549967,2.7930874820549967,2.7259457536071268,2.7393741607666016,1374900
1990-02-28,2.712517695646888,2.7930875251477905,2.685660880913581,2.752802610397339,1464300
1990-03-01,2.752802567926076,2.779659074895522,2.7393741607666016,2.7393741607666016,1395300
1990-03-02,2.7662290152470943,2.793085813522339,2.73937252432117,2.793085813522339,910500
1990-03-05,2.793086500856116,2.8870843959028853,2.793086500856116,2.83337140083313,1162800
1990-03-06,2.846799895766413,2.8602283000946045,2.819943394459469,2.8602283000946045,1168500
1990-03-07,2.860226446749734,2.887082930654445,2.860226446749734,2.873654842376709,2542800
1990-03-08,2.900512482018472,2.954225778579712,2.900512482018472,2.954225778579712,2952000
1990-03-09,2.946517252384079,2.9740546907697403,2.8776731837066625,2.891442060470581,2984400
1990-03-12,2.891441447819251,2.974054060614087,2.8776725739727422,2.960285186767578,2977200
1990-03-13,2.9465166280631774,2.974054060614087,2.9327477542166687,2.960285186767578,2759700
1990-03-14,2.9465162360588883,2.960284792931521,2.932747364044189,2.932747364044189,2339700
1990-03-15,2.932746153525618,2.932746153525618,2.877671003341675,2.877671003341675,3381300
1990-03-16,2.8914407491380367,2.8914407491380367,2.808828156305521,2.822597026824951,1104600
1990-03-19,2.795058505887252,2.8639025241329787,2.7675210876741274,2.8501336574554443,860700
1990-03-20,2.8225975114441804,2.836366069185538,2.726216031544244,2.7675223350524902,2268900
1990-03-21,2.7124454975128174,2.753751775724393,2.671139219301242,2.7124454975128174,2156400
1990-03-22,2.671140793676306,2.68490966624286,2.643603363685277,2.657372236251831,1935300
1990-03-23,2.684909728035998,2.781291207935934,2.671140855152554,2.7675223350524902,2757900
1990-03-26,2.753751356275209,2.7950576281950466,2.6711388124355344,2.6849076747894287,1483800
1990-03-27,2.67113995552063,2.6849088237667607,2.643602534170349,2.67113995552063,1767900
1990-03-28,2.657372236251831,2.68490966624286,2.643603363685277,2.657372236251831,1627200
1990-03-29,2.6298345366668494,2.643603409471877,2.5885282333938515,2.6160659790039062,1602900
1990-03-30,2.5885275605844686,2.6022964298106954,2.5059149755111134,2.574759006500244,2167500
1990-04-02,2.533453226089477,2.602296955853049,2.505915482070396,2.533453226089477,1743600
1990-04-03,2.547221930120853,2.6298345366668494,2.53345337245791,2.6160659790039062,1313400
1990-04-04,2.643603409471877,2.671140839939848,2.5609908029258808,2.6160659790039062,1348500
1990-04-05,2.602296955853049,2.6160658278625903,2.5196843540799367,2.533453226089477,1519800
1990-04-06,2.533453186522283,2.6160657870051613,2.505915442933283,2.519684314727783,2200500
1990-04-09,2.533453851555908,2.574760162640286,2.519684976147067,2.5609912872314453,2100300
1990-04-10,2.588528722906983,2.588528722906983,2.5609912872314453,2.5609912872314453,1065300
1990-04-11,2.547221268047791,2.574759006500244,2.5059149755111134,2.574759006500244,2661900
1990-04-12,2.574759815378341,2.7124472903280448,2.560990941826531,2.698678731918335,3758400
1990-04-16,2.726215968800442,2.739984841366996,2.657372236251831,2.657372236251831,1863000
1990-04-17,2.65737140241648,2.6849088237667607,2.602296244573937,2.67113995552063,1216200
1990-04-18,2.698678538809413,2.7124470962338885,2.643603363685277,2.657372236251831,879900
1990-04-19,2.684909343616,2.684909343616,2.61606561933986,2.6298341751098637,888000
1990-04-20,2.6298350339913608,2.6298350339913608,2.547222411822605,2.5609912872314453,1187700
1990-04-23,2.602297106198879,2.6160659790039062,2.5747596757309084,2.6160659790039062,1614900
1990-04-24,2.6298346897024487,2.643603563308716,2.6298346897024487,2.643603563308716,958500
1990-04-25,2.643603563308716,2.657372436914983,2.616066131238284,2.643603563308716,1428000
1990-04-26,2.643603409471877,2.643603409471877,2.5747596757309084,2.6160659790039062,770700
1990-04-27,2.6298335339361074,2.6436024014911954,2.5885272464128075,2.6022961139678955,648000
1990-04-30,2.616065299036922,2.616065299036922,2.5334527139635665,2.574759006500244,1017900
1990-05-01,2.5747596757309084,2.6160659790039062,2.5609908029258808,2.6160659790039062,754200
1990-05-02,2.6022953508679554,2.616064214385447,2.588526487350464,2.588526487350464,771300
1990-05-03,2.6160659790039062,2.6298345366668494,2.602297106198879,2.6160659790039062,818100
1990-05-04,2.6160653919016346,2.7399842739105225,2.6022965221866428,2.7399842739105225,1502100
1990-05-07,2.739984120196754,2.8088278346255384,2.726215251254199,2.7950589656829834,1253400
1990-05-08,2.795058606351771,2.795058606351771,2.739983767945933,2.781290054321289,635100
1990-05-09,2.767522866075689,2.836366613418249,2.6986791187331285,2.726216554641724,890700
1990-05-10,2.7537541389465328,2.795060452606442,2.712447825286624,2.753754138946533,1267800
1990-05-11,2.78129061190248,2.8363654613494877,2.753752872036958,2.8363654613494877,1133700
1990-05-14,2.863902452152141,2.946515019857088,2.863902452152141,2.877671003341675,1546500
1990-05-15,2.8776725739727422,2.9878229344605955,2.863904015268342,2.960285186767578,1902000
1990-05-16,2.93274708496839,2.946515955672864,2.8639033617300926,2.918978214263916,1177800
1990-05-17,2.946515955672864,2.960284511235302,2.8914407879970043,2.918978214263916,882900
1990-05-18,2.9602833952663725,2.9740522607802538,2.946514844894409,2.946514844894409,97800
1990-05-21,2.91897888037016,2.9878229344605955,2.90521032166576,2.960285186767578,833100
1990-05-22,2.9602826136464904,3.001588884139892,2.9602826136464904,2.9740514755249023,1283700
1990-05-23,2.9740514755249023,2.9878203374033143,2.946514066909913,2.9740514755249023,682200
1990-05-24,2.9740514755249023,2.9878203374033143,2.946514066909913,2.9740514755249023,637200
1990-05-25,2.960285024885264,2.987822771072388,2.960285024885264,2.987822771072388,485700
1990-05-29,3.001591956243617,3.0291297081850943,2.9878233954150346,3.0153608322143555,641100
1990-05-30,3.0291297081850943,3.0291297081850943,2.9878233954150346,3.0153608322143555,508800
1990-05-31,3.0153608322143555,3.0291297081850943,3.001591956243617,3.0153608322143555,522000
1990-06-01,3.0428983597651102,3.08420467376709,3.0015920457631307,3.08420467376709,1617600
1990-06-04,3.097971839668572,3.125509262084961,3.0428966796937997,3.125509262084961,1354200
1990-06-05,3.15304767798926,3.180585106330046,3.139278806247838,3.166816234588623,1629300
1990-06-06,3.180585710472683,3.208123144044121,3.125510528187688,3.153048276901245,1200000
1990-06-07,3.139277935028076,3.1530468029483303,3.11174051432954,3.139277935028076,1105800
1990-06-08,3.1117407084477624,3.139278130864152,3.097971839668572,3.125509262084961,1878900
1990-06-11,3.1176095008850098,3.1317164393193324,3.1035028853304207,3.1176095008850098,607500
1990-06-12,3.117610083844842,3.131717024917012,3.0470760242435797,3.103503465652466,954900
1990-06-13,3.117608581973021,3.117608581973021,3.0329676220743904,3.047074556350708,714900
1990-06-14,3.018862389510925,3.018862389510925,2.9342213909534203,2.9906485080718994,871200
1990-06-15,2.90600826763205,2.976542666750798,2.90600826763205,2.962435722351074,1313100
1990-06-18,2.976540797772023,2.976540797772023,2.9060064429420045,2.934220314025879,659100
1990-06-19,2.9060066817026824,2.976541042327881,2.9060066817026824,2.976541042327881,679500
1990-06-20,2.976541527645167,2.976541527645167,2.877793600397116,2.8919005393981934,750300
1990-06-21,2.9060072898864746,2.920114229539824,2.8213662977259,2.9060072898864746,1062300
1990-06-22,2.8919017086398853,2.9201152751694868,2.8354742527008057,2.8354742527008057,610800
1990-06-25,2.8354733638189917,2.849580304101399,2.736725427601689,2.764939308166504,1102800
1990-06-26,2.779045869147067,2.821366366255296,2.764939252030837,2.7931528091430664,827100
1990-06-27,2.807259502468616,2.877793550491333,2.793152563712176,2.877793550491333,530400
1990-06-28,2.9060072898864746,2.9060072898864746,2.8213662977259,2.9060072898864746,392100
1990-06-29,2.906007105124472,2.9201140438809112,2.8636866117348934,2.877793550491333,624300
1990-07-02,2.8919004892477727,2.906007105124472,2.8636866117348934,2.877793550491333,534300
1990-07-03,2.906007105124472,2.9201140438809112,2.8354730571017543,2.877793550491333,569100
1990-07-05,2.863686661396037,2.8919005393981934,2.8354731062736285,2.8919005393981934,469500
1990-07-06,2.8919004892477727,2.906007105124472,2.8495799958581944,2.877793550491333,428700
1990-07-09,2.906007105124472,2.906007105124472,2.8213661183453147,2.877793550491333,495000
1990-07-10,2.863686863363524,2.877793803359523,2.764939252030837,2.7931528091430664,567900
1990-07-11,2.821366415411936,2.849580295895505,2.7790459175663584,2.8072597980499268,766800
1990-07-12,2.764938061086454,2.764938061086454,2.694403714367553,2.750831127166748,2295600
1990-07-13,2.750832971614817,2.807260422248916,2.750832971614817,2.779046535491944,668100
1990-07-16,2.7790468624825166,2.7790468624825166,2.708512783050537,2.708512783050537,1011300
1990-07-17,2.7085106482872594,2.835472084925725,2.7085106482872594,2.750831127166748,1523100
1990-07-18,2.779045869147067,2.821366366255296,2.764939252030837,2.7931528091430664,730800
1990-07-19,2.821366366255296,2.821366366255296,2.779045869147067,2.7931528091430664,424800
1990-07-20,2.793152766597503,2.793152766597503,2.7085117736703057,2.736725330352783,704700
1990-07-23,2.708512127183126,2.7226190688054737,2.6661916251958897,2.6802985668182373,783300
1990-07-24,2.6802994093852197,2.736726547853181,2.666192463328275,2.694406032562256,693600
1990-07-25,2.6944051735823944,2.72261905670166,2.680298554902566,2.72261905670166,427200
1990-07-26,2.7226199246761444,2.7226199246761444,2.6802994093852197,2.694406032562256,524100
1990-07-27,2.6944043628132794,2.6944043628132794,2.637977259313751,2.6520838737487797,497400
1990-07-30,2.6097644294292945,2.6379783153533936,2.595657809347082,2.6379783153533936,616200
1990-07-31,2.623870665659255,2.6661911602666626,2.581550171051848,2.5956571102142334,1002000
1990-08-01,2.5674438784183597,2.5674438784183597,2.412268800075219,2.4828028678894043,1738500
1990-08-02,2.4828020189790245,2.4828020189790245,2.38405442237854,2.38405442237854,2193900
1990-08-03,2.3981602488372697,2.426374115342862,2.2853057514537465,2.3276262283325195,1673400
1990-08-06,2.285306453704834,2.426374860942815,2.242985963821411,2.4122679233551025,1804800
1990-08-07,2.4828026648953707,2.5392301082611084,2.4828026648953707,2.5392301082611084,2769000
1990-08-08,2.5392293438700144,2.6520838737487797,2.5110157921202503,2.6520838737487797,1466400
1990-08-09,2.6802985668182373,2.6944051855607785,2.637978064831001,2.6802985668182373,893100
1990-08-10,2.652085110853405,2.666192054748535,2.637978489838133,2.666192054748535,1029600
1990-08-13,2.6379787036185576,2.708512783050537,2.609764813541858,2.708512783050537,653700
1990-08-14,2.7085121151420277,2.7649395585007546,2.6944051735823944,2.72261905670166,659700
1990-08-15,2.73672485187778,2.750831789192516,2.6520838737487797,2.6520838737487797,1313400
1990-08-16,2.6379774994820724,2.6520841152014034,2.6097636222839355,2.6097636222839355,1176600
1990-08-17,2.6097636222839355,2.623870560883004,2.5956570065646045,2.6097636222839355,583200
1990-08-20,2.609763625367992,2.609763625367992,2.5674431324005127,2.5674431324005127,574800
1990-08-21,2.5674436685040742,2.5674436685040742,2.5251231666997227,2.5392301082611084,1270800
1990-08-22,2.5533382073604867,2.5674448324372072,2.5110176863704234,2.525124311447144,671100
1990-08-23,2.4686968585027422,2.482803481825903,2.426376342773437,2.426376342773437,1303500
1990-08-24,2.4545884132385254,2.4686953508262377,2.3981609857673902,2.4122679233551025,1122000
1990-08-27,2.412269050940764,2.454589560606391,2.412269050940764,2.4404826164245605,1472700
1990-08-28,2.4404826365558625,2.4545895808540603,2.3981621265411377,2.3981621265411377,1002900
1990-08-29,2.4122679752815754,2.4122679752815754,2.38405442237854,2.38405442237854,963300
1990-08-30,2.398161037390197,2.4122679752815754,2.355840546595784,2.38405442237854,1249800
1990-08-31,2.369948541275136,2.454589560606391,2.369948541275136,2.4404826164245605,768600
1990-09-04,2.440482362624927,2.4828028678894043,2.4263757427899884,2.4828028678894043,815100
1990-09-05,2.4828026648953707,2.5392301082611084,2.4828026648953707,2.5392301082611084,620400
1990-09-06,2.539230168193424,2.539230168193424,2.4969096653902003,2.511016607284546,403500
1990-09-07,2.5110176959450223,2.595658738247889,2.49691074793456,2.5815517902374268,900900
1990-09-10,2.6315650316081807,2.6461038424711094,2.515252548072449,2.5443308353424072,723600
1990-09-11,2.515252876405186,2.5297920219380567,2.4861749181115385,2.500714063644409,671700
1990-09-12,2.500714446449293,2.515253261435646,2.4716361509322984,2.486175298690796,476100
1990-09-13,2.457095894733064,2.4716347011916606,2.413478809813376,2.4280176162719727,730500
1990-09-14,2.413477602373354,2.413477602373354,2.2971652122628763,2.3553214073181152,5145600
1990-09-17,2.355323002888606,2.355323002888606,2.2680888175964355,2.2680888175964355,1553100
1990-09-18,2.2680888175964355,2.2826279594024665,2.2390108667563813,2.2680888175964355,1461900
1990-09-19,2.2390114268528194,2.2535502395237765,2.151777219738711,2.166316032409668,1054200
