ticker,rows,jump_count,drop_count,volume_spike_count,volatility_shock_count,regime_shift_count,event_count,event_rate
A,6623,137,130,194,569,0,794,0.1198852483768685
AAPL,9121,189,198,325,804,0,1125,0.12334173884442495
ABBV,3324,62,80,124,294,0,427,0.12845968712394706
ABNB,1324,24,28,71,105,0,174,0.13141993957703926
ABT,9121,171,185,291,789,0,1092,0.11972371450498849
ACN,6204,118,137,212,570,0,775,0.12491940683430044
ADBE,9121,180,195,341,856,0,1180,0.1293717794101524
AES,8746,148,184,230,779,0,1063,0.12154127601189114
AFL,9121,186,189,260,808,0,1121,0.12290319043964477
AKAM,6637,138,146,264,659,0,906,0.13650745818894078
ALB,8073,162,164,223,722,0,974,0.1206490771708163
ALGN,6322,150,125,231,652,0,880,0.13919645681746282
ALL,8256,160,171,225,762,0,1021,0.12366763565891473
ALLE,3102,48,76,106,291,0,399,0.1286266924564797
AMD,9121,194,186,307,873,0,1150,0.12608266637430107
AMZN,7257,161,136,319,741,0,986,0.1358688163152818
AOS,9121,211,182,268,806,4,1142,0.12520556956474072
APD,9121,195,188,236,834,0,1127,0.12356101304681504
APTV,3604,66,89,102,334,0,460,0.12763596004439512
ARE,7249,135,168,219,650,0,930,0.12829355773210097
AVGO,4181,90,80,167,412,0,559,0.1337000717531691
AXP,9121,167,188,287,811,0,1133,0.12421883565398531
BAC,9121,174,185,279,742,0,1027,0.1125973029273106
BBY,9121,180,203,322,828,0,1133,0.12421883565398531
BK,9121,195,199,244,808,0,1125,0.12334173884442495
BKNG,6785,156,144,269,695,0,938,0.13824613117170229
BLDR,5215,121,90,173,443,0,646,0.12387344199424737
BLK,6657,136,140,194,564,0,803,0.1206249061138651
BMY,9121,178,176,283,807,0,1100,0.12060081131454885
C,9121,179,178,299,767,0,1086,0.11906589189781822
CAT,9121,191,165,287,803,0,1096,0.12016226290976867
CCL,9121,208,182,266,815,0,1114,0.12213573073127947
CL,9121,176,183,284,806,0,1099,0.1204911742133538
CLX,9121,179,199,296,892,0,1209,0.1325512553448087
CMCSA,9121,185,171,302,768,0,1112,0.12191645652888937
CMG,5069,116,105,231,529,0,728,0.1436180706253699
COF,7887,145,163,236,698,0,953,0.1208317484468112
COP,9121,147,172,263,775,0,1115,0.12224536783247451
COST,9121,175,144,277,730,0,1027,0.1125973029273106
CPB,9121,179,188,323,846,0,1168,0.12805613419581185
CRM,5471,105,120,226,501,0,713,0.13032352403582526
CSCO,9088,166,197,322,864,0,1182,0.13006161971830985
CVS,9121,187,184,255,820,0,1101,0.12071044841574388
CVX,9121,137,188,279,739,0,1072,0.1175309724810876
DE,9121,169,177,293,774,0,1095,0.12005262580857362
DHI,8507,162,144,193,696,0,935,0.10990948630539556
DHR,9121,188,184,260,787,0,1110,0.12169718232649929
DIS,9121,194,175,334,843,0,1187,0.1301392391185177
DLTR,7812,173,160,248,719,0,966,0.12365591397849462
DUK,9121,146,200,297,743,0,1116,0.12235500493366955
EL,7633,167,148,254,717,0,955,0.12511463382680466
